Formalisasi,Stopword Removal
"['aku', 'rangin', 'bintang', 'nya', 'karena', 'shopee', 'sekarang', 'ga', 'bisa', 'pilih', 'jasa', 'kurir', 'yang', 'kita', 'ken', 'telah', 'di', 'terbaru', 'makin', 'ga', 'nyaman', 'belanja', 'di', 'shopee']",rangin bintang nya shopee ga pilih jasa kurir ken terbaru ga nyaman belanja shopee
"['saya', 'mesen', 'barang', 'ini', 'dari', 'minggu', 'kemarin', 'sampai', 'sekarang', 'ko', 'masih', 'di', 'kemas', 'saja', 'belum', 'di', 'kirim', 'lama', 'benar', 'asa', 'dolo', 'saya', 'beli', 'barang', 'lama', 'kemudian', 'langsung', 'di', 'kirim', 'hadeuh']",mesen barang minggu kemarin ko kemas kirim asa dolo beli barang langsung kirim hadeuh
"['kenapa', 'shoope', 'jadi', 'gin', 'padahal', 'belum', 'pernah', 'guna', 'baru', 'dapat', 'voucer', 'gratis', 'ongkos kirim', 'tapi', 'kenapa', 'ga', 'bisa', 'dipake', 'padahal', 'belum', 'pernah', 'dipake']",shoope gin voucer gratis ongkos kirim ga dipake dipake
"['apa', 'kok', 'kasih', 'promo', 'bulan', 'sekali', 'pun', 'cuma', 'hari', 'toko', 'banyak', 'yang', 'belum', 'gratis', 'ongkos kirim', 'karena', 'ada', 'tahap', 'proses', 'verif', 'ktp', 'saja', 'susah', 'gagal', 'ae']",kasih promo toko gratis ongkos kirim tahap proses verif ktp susah gagal ae
"['bintang', 'satu', 'ah', 'shopee', 'tidak_jelas', 'sudah', 'benar', 'bisa', 'milih', 'jasa', 'expedisi', 'bahkan', 'sekarang', 'gk', 'bisa', 'milih', 'hadeh']",bintang ah shopee tidak jelas milih jasa expedisi gk milih hadeh
"['sekarang', 'sistem', 'nya', 'jelek', 'belanja', 'bahkan', 'mahal', 'di', 'ongkos kirim', 'kalau', 'sistem', 'nya', 'kaya', 'gin', 'lebih baik', 'stop', 'pakai', 'shopee', 'tolong', 'dong', 'kembali', 'sistem', 'shopee', 'yang', 'dulu', 'makin', 'diupgrade', 'bahkan', 'makin', 'jelek']",sistem nya jelek belanja mahal ongkos kirim sistem nya kaya gin lebih baik stop pakai shopee tolong sistem shopee diupgrade jelek
"['samsung', 'tidak', 'bisa', 'untuk', 'bayar', 'kalau', 'ke', 'menu', 'profil', 'dan', 'bayar', 'cuman', 'ada', 'halaman', 'putih', 'saja']",samsung bayar menu profil bayar cuman halaman putih
"['sangat', 'kecewa', 'dengan', 'jasa', 'kirim', 'shopee', 'yang', 'di', 'satu', 'jadi', 'reguler', 'orang', 'dari', 'luar', 'kota', 'jadi', 'mahal', 'ongkirnya', 'seperti', 'saya', 'dari', 'sulawesi', 'biasa', 'kalau', 'belanja', 'pakai', 'voucer', 'tidak_bayar', 'ongkos kirim', 'sekarang', 'udh', 'tidak_bisa', 'mau', 'di', 'jual', 'kembali', 'jadi', 'susah', 'kasih', 'harga']",kecewa jasa kirim shopee reguler orang kota mahal ongkirnya sulawesi belanja pakai voucer tidak bayar ongkos kirim udh tidak bisa jual susah kasih harga
"['bnar', 'parah', 'shopee', 'nya', 'saya', 'mesan', 'tanggal', 'kemarin', 'smpe', 'tanggal', 'ini', 'belum', 'juga', 'sampai', 'padahal', 'lokasi', 'toko', 'dijakarta', 'ini', 'lama', 'banget', 'kayak', 'krim', 'dari', 'china', 'bikin', 'marah', 'aplikasi', 'ini', 'semua', 'lambat', 'layan', 'nya', 'gk', 'biasa', 'bagus', 'sebelum', 'nya']",bnar parah shopee nya mesan tanggal kemarin smpe tanggal lokasi toko dijakarta banget kayak krim china bikin marah aplikasi lambat layan nya gk bagus nya
"['tipu', 'ini', 'shopee', 'kasih', 'nya', 'notifikasi', 'spinjam', 'tahu', 'bunga', 'nya', 'mahal', 'banget', 'saya', 'coba', 'pinjam', 'juta', 'tapi', 'bunga', 'nya', 'juta', 'bulan', 'ribu', 'lama', 'bulan', 'jadi', 'total', 'bunga', 'nya', 'juta', 'saya', 'jadi', 'aju', 'spinjam', 'buat', 'modal', 'jual', 'tapi', 'bunga', 'nya', 'mahal', 'banget', 'lebih', 'koprasi', 'saja', 'saya', 'mau', 'balik', 'tu', 'uang', 'ga', 'bisa', 'di', 'balik', 'kalau', 'mau', 'balik', 'juga', 'harus', 'mencicil', 'bulan', 'terus', 'shoppe', 'tetap', 'dapat', 'untung', 'gila', 'yaa', 'shopee', 'tipu', 'banget', 'sesal', 'saya', 'belanja', 'lama', 'ini']",tipu shopee kasih nya notifikasi spinjam bunga nya mahal banget coba pinjam juta bunga nya juta ribu total bunga nya juta aju spinjam modal jual bunga nya mahal banget koprasi tu uang ga mencicil shoppe untung gila yaa shopee tipu banget sesal belanja
"['halo', 'kak', 'kenapa', 'saya', 'tidak_bisa', 'mengupdate', 'aplikasi', 'shopee', 'yang', 'baru', 'iya', 'padahal', 'ram', 'dan', 'memori', 'saya', 'masih', 'banyak', 'ini', 'mohon', 'solusi', 'kak']",halo kak tidak bisa mengupdate aplikasi shopee iya ram memori mohon solusi kak
"['terlalu', 'banyak', 'potong', 'buat', 'seller', 'sama', 'az', 'kamu', 'yang', 'jual', 'tidak_kami', 'yang', 'jual', 'dan', 'banyak', 'barang', 'luar', 'negeri', 'yang', 'masuk', 'hancurin', 'umkm']",potong seller az jual tidak kami jual barang negeri masuk hancurin umkm
"['bintang', 'dulu', 'soal', 'banyak', 'transaksi', 'yang', 'ada', 'poin', 'cashback', 'nya', 'gk', 'di', 'kirim', 'oleh', 'pihak', 'shopee', 'dan', 'ini', 'sudah', 'lebih', 'dari', 'jam']",bintang transaksi poin cashback nya gk kirim shopee jam
"['gk', 'suka', 'karena', 'ongkos kirim', 'nya', 'tuhh', 'sampai', 'ribu', 'padahal', 'itu', 'baru', 'ongkos kirim', 'nya', 'saja', 'belum', 'belanja', 'kalau', 'sama', 'sena', 'pasti', 'mahal', 'banget', 'apalagi', 'biasa', 'datang', 'itu', 'salah', 'tolong', 'di', 'baik', 'lagi', 'iya', 'tolong', 'iya']",gk suka ongkos kirim nya tuhh ribu ongkos kirim nya belanja sena mahal banget salah tolong iya tolong iya
