ulasan,cleansing
ini shopee lagi gangguan apa gmana setiap mau beli barang pasti bakal balik ke halaman utaman padahal barang nyang mau di beli belom ke beli tapi malah balik lagi ke halaman utama,ini shopee lagi gangguan apa gmana setiap mau beli barang pasti bakal balik ke halaman utaman padahal barang nyang mau di beli belom ke beli tapi malah balik lagi ke halaman utama
Parah no gw sampe di terorin penipu tadi nya pake no lain karena sengaja buat babang kurir pas gw ganti no lagi pake no pribadi langsung di teror lagi entah kebocoran sistem entah apa untuk smntra 1star dlu sblum di perbaiki,Parah no gw sampe di terorin penipu tadi nya pake no lain karena sengaja buat babang kurir pas gw ganti no lagi pake no pribadi langsung di teror lagi entah kebocoran sistem entah apa untuk smntra  star dlu sblum di perbaiki
"nanti gak bakal bisa milih kurir, makin yakin aja gak bakal make shopee lagi daripada kena kendala paketnya karna dah biasa pake sicepat",nanti gak bakal bisa milih kurir  makin yakin aja gak bakal make shopee lagi daripada kena kendala paketnya karna dah biasa pake sicepat
"Tambah produk ga bisa sejak diupdate. Hanya bisa belanja, edit produk juga ga bisa, parah.",Tambah produk ga bisa sejak diupdate  Hanya bisa belanja  edit produk juga ga bisa  parah
Terlalu diskriminasi skrg..yang diksh gratis ongkir cuma yg bayar pake shopee pay..padahal itu riba jatuhnya..pindah ke si hijau aja lah..,Terlalu diskriminasi skrg  yang diksh gratis ongkir cuma yg bayar pake shopee pay  padahal itu riba jatuhnya  pindah ke si hijau aja lah
Kenapa kode voucher ngga bisa digunakan ya? Waktu klik buat pesanan muncul kode voucher tidak sah itu knp ya?,Kenapa kode voucher ngga bisa digunakan ya  Waktu klik buat pesanan muncul kode voucher tidak sah itu knp ya
"Cocok bintang 1 ,kesellll kakkk kesel kudu ke Alfamart n Indomaret yg jauh untuk top up shopee pay terusss! Shopee kpn bisa gratis ongkir cod???",Cocok bintang kesel kak kesel kudu ke Alfamart Indomaret yg jauh untuk top up shopee pay terus  Shopee kpn bisa gratis ongkir cod
Kenapa akun saya d blokir padahal akun baru .. blnja jg sewajarnya komen jg bagus kasih bintang jg 4 dan 5 kenapa keterangannya melanggar komonitas sophee jelaskan kesalahan saya dmn padahal masih ada saldo sophee pay nya kaga jelass sejak ganti mitra shopee ganti akun malah kek gini akun dulu ga pernah rewel .. uang segitu jg lumayan woy,Kenapa akun saya blokir padahal akun baru blnja jg sewajarnya komen jg bagus kasih bintang jg dan kenapa keterangannya melanggar komonitas sophee jelaskan kesalahan saya dmn padahal masih ada saldo sophee pay nya kaga jelass sejak ganti mitra shopee ganti akun malah kek gini akun dulu ga pernah rewel uang segitu jg lumayan woy
"Sangat buruk 👎 saat mau ngisi alamat selalu hilang ketika memasukan provinsi atau kota ,begitupun sebaliknya .. payah payah",Sangat buruk  saat mau ngisi alamat selalu hilang ketika memasukan provinsi atau kota  begitupun sebaliknya payah payah
Kembalikan jasa pengiriman seperti dulu!!! Kalo ga ya pindah ke olsop lain aja dah:)),Kembalikan jasa pengiriman seperti dulu Kalo ga ya pindah ke olsop lain aja dah
"Dep, emang akun ku jarang aktif tapi jangan seenak enaknya aja akun saya di rubah jadi bot, saya benerin pasword malah ada aja alasan pengajuannya, parah banget bikin akun udah 3 di ubah jadi bot semua",Dep  emang akun ku jarang aktif tapi jangan seenak enaknya aja akun saya di rubah jadi bot  saya benerin pasword malah ada aja alasan pengajuannya  parah banget bikin akun udah di ubah jadi bot semua
"3 tahun pake ini aps, gak ada perubahan, selalu lelet kalo loading brg & checkout, puncak keselnya skrg pas lb bener"" butuh, lbh berat dripd aplikasi games 👎👎👎",tahun pake ini aps  gak ada perubahan  selalu lelet kalo loading brg & checkout  puncak keselnya skrg pas lb bener  butuh  lbh berat dripd aplikasi games 
Gak bisa belanja. Harus konfirmasi nomor telfon tapi bermasalah terus. Gimana ini ??!!,Gak bisa belanja  Harus konfirmasi nomor telfon tapi bermasalah terus  Gimana ini
"Shopeepay nya ngga bisa ganti pin, sayang padahal masih ada saldo nya 100k, udah coba ganti pin tulisan nya error",Shopeepay nya ngga bisa ganti pin  sayang padahal masih ada saldo nya udah coba ganti pin tulisan nya error
"Miminnn tolongin dong masa aku ga bisa daftar siii,nanti kalo udh di bantu aku tambhin bintang ny makshhh))",Mimin tolongin dong masa aku ga bisa daftar si nanti kalo udh di bantu aku tambhin bintang ny maksh
Shopee semakin buruk! Bukannya semakin membuat kami para pelanggan semakin nyaman malah semakin menyusahkan!,Shopee semakin buruk  Bukannya semakin membuat kami para pelanggan semakin nyaman malah semakin menyusahkan
"Udah kecewa 2kali reward koin penilaian produk gak masuk,lapor team shopee udah tpi katanya masuk 1x24jam tpi sampai skrang gak ada., jika sperti ini kan rugi ke seller klu misal pembeli males ngasih review.tolong diperhatikan",Udah kecewa  kali reward koin penilaian produk gak masuk lapor team shopee udah tpi katanya masuk jam tpi sampai skrang gak ada jika sperti ini kan rugi ke seller klu misal pembeli males ngasih review tolong diperhatikan
"Parah sekarang kebijakan shopee ga asik, ga bisa pilih kurir expedisi. Padahal pembeli yang nanggung ongkir, seharusnya pembeli bebas menentukan pilihan expedisi nya sendiri ! ! ! ! !😤😤",Parah sekarang kebijakan shopee ga asik  ga bisa pilih kurir expedisi  Padahal pembeli yang nanggung ongkir  seharusnya pembeli bebas menentukan pilihan expedisi nya sendiri 
Barang ga diterima koq minta bukti kalo barang ga di terima.. Mana logika kalian ????,Barang ga diterima koq minta bukti kalo barang ga di terima Mana logika kalian
Habis ketipu saldo 200ribu raib . Yg mengatasnamakan shopee id . Ini terakhir kali makai shopee . Makasi,Habis ketipu saldo  ribu raib Yg mengatasnamakan shopee id Ini terakhir kali makai shopee Makasi
"Udh 13 kali saya verifikasi ktp gagal gagal gagal gagal ,saya mau narik saldo gak bisa ,tolong lah min di bantuuuu",Udh kali saya verifikasi ktp gagal gagal gagal gagal  saya mau narik saldo gak bisa  tolong lah min di bantu
Iya bagus cuma aku udh kumpulin poin tapi kok sering berkurang kadang udh banyak tapi aku liat lagi kok udh dikit tolong dong di perbaiki,Iya bagus cuma aku udh kumpulin poin tapi kok sering berkurang kadang udh banyak tapi aku liat lagi kok udh dikit tolong dong di perbaiki
"COD di shopee.. Ngeri banget"" biaya penanganan sampai 10%, belum ongkir. Sekarang waktunya beralih ke LAZADA/tokopedia,...ongkir 8000 dapat potongan 6000...terkadang gratis ongkir. Mantap,",COD di shopee Ngeri banget  biaya penanganan sampai  %  belum ongkir  Sekarang waktunya beralih ke LAZADA tokopedia ongkir dapat potongan terkadang gratis ongkir  Mantap
Apa shopping benar mengirimkan ke pelanggan hadiah. Tapi kenap kita yang di beri kejutan hadiah malah di suru belanja,Apa shopping benar mengirimkan ke pelanggan hadiah  Tapi kenap kita yang di beri kejutan hadiah malah di suru belanja
Balikin sistem jasa pengiriman seperti semula..saat sudah besar jangan jumawa shopee.... Pembeli bisa pindah marketplace yg lain.. Di lepehin orang jd abu lo,Balikin sistem jasa pengiriman seperti semula  saat sudah besar jangan jumawa shopee Pembeli bisa pindah marketplace yg lain Di lepehin orang jd abu lo
Bikin alamat rumah Sampai berkali kali .. Kaga bisa.. Tolong dong.. Di bantu.. Jadi sulit banget,Bikin alamat rumah Sampai berkali kali Kaga bisa Tolong dong Di bantu Jadi sulit banget
"Kasi bintang 1 aja... Lelet banget padahal Jaringan 4G..aplikasi yg lain, lancar buka nya... Tapi ini Lalot banget",Kasi bintang aja Lelet banget padahal Jaringan aplikasi yg lain  lancar buka nya Tapi ini Lalot banget
Tolong untuk Dana pngembalian dipercepattttt. Supaya dapat dipercaya saya tunggguu..saya beli paket data udah tf cuman disitu tertera pengembalian danaaaaaa,Tolong untuk Dana pngembalian dipercepat  Supaya dapat dipercaya saya tunguu  saya beli paket data udah tf cuman disitu tertera pengembalian dana
"apk apa tau ,nomer hp blm pernah terdaftar ,malah masuk dalam tinjauan ngaco ,ga jelas nih apk parah",apk apa tau  nomer hp blm pernah terdaftar  malah masuk dalam tinjauan ngaco  ga jelas nih apk parah
Kenapa kode voucher pengguna baru saya tidak bisa digunakan saya ingin belanja malah tidak bisa di gunakan alasan saya pengguna baru akun saya yg 1 nya hilang kartunya dan tidak bisa di hubkan,Kenapa kode voucher pengguna baru saya tidak bisa digunakan saya ingin belanja malah tidak bisa di gunakan alasan saya pengguna baru akun saya yg nya hilang kartunya dan tidak bisa di hubkan
"Aku pengguna baru pas ngisi alamat udah bener pas suruh ngarahin gps masa ngga bisa yang keluar malah bacaan lokasi saat ini banten bukan jawa barat padahal udah nulis alamat bener, huhhhh parah si malesin",Aku pengguna baru pas ngisi alamat udah bener pas suruh ngarahin gps masa ngga bisa yang keluar malah bacaan lokasi saat ini banten bukan jawa barat padahal udah nulis alamat bener  huh parah si malesin
Verifikasi Bank sangat lama Untuk orang yang sedang membutuhkan uang untuk transfer akhirnya harus menunggu berhari hari,Verifikasi Bank sangat lama Untuk orang yang sedang membutuhkan uang untuk transfer akhirnya harus menunggu berhari hari
"Ini shopee kenapa ya? Barusan diupdate 30 menit yang lalu. Kenapa layarnya putih mulu, hmmm 😶😑",Ini shopee kenapa ya  Barusan diupdate menit yang lalu  Kenapa layarnya putih mulu  hm 
"skrg shoope aneh,dan rakus. masa pilih ekspedisi sesuai dng pilihan kita gak bisa.hrs mereka yg tentukan. gmna lacakx klo gt?? yg tau dekat dng alamat kita ya kita,moso shopee?? dasar rakus,mending pindah",skrg shoope aneh dan rakus  masa pilih ekspedisi sesuai dng pilihan kita gak bisa hrs mereka yg tentukan  gmna lacakx klo gt yg tau dekat dng alamat kita ya kita moso shopee dasar rakus mending pindah
"Susah menentukan lokasi, apalagi kalo beli untuk hadiah teman yang kurang tau detail lokasinya sangat susah.",Susah menentukan lokasi  apalagi kalo beli untuk hadiah teman yang kurang tau detail lokasinya sangat susah
Barang yg sudah tidak kita favorite kan tolong dihapus saja. Saya sudah coba logout tapi tetap masih ada...,Barang yg sudah tidak kita favorite kan tolong dihapus saja  Saya sudah coba logout tapi tetap masih ada
"Paylatter saya kosong, alasannya pandemi Apa karena saya sedikit telat bayar lalu spaylatternya di kosongin gitu aja? Atau takut gak di bayar? Alasan apa lagi?👎 kecewa bet, padahal udah bayar loh😒",Paylatter saya kosong  alasannya pandemi Apa karena saya sedikit telat bayar lalu spaylatternya di kosongin gitu aja  Atau takut gak di bayar  Alasan apa lagi  kecewa bet  padahal udah bayar loh
"Kecewa dengan mekanisme pengambilan barang di shope, padahal saya menerima barang yg berbeda dg yg saya beli. Dan saya mengembalikannya dg jasa ekspedisi yg shope rekomendasikan yaitu JNT. Paket saya diterima dalam keadaan baik, setiba nya di alamat penjual barang rusak dg menyalahkan packing tidak sesuai standart. Woy klu tidak sesuai standart knp paket saya diterima dan dikirimkan ?. Pihak shopee jg tidak melindungi hak konsumen dg baik.",Kecewa dengan mekanisme pengambilan barang di shope  padahal saya menerima barang yg berbeda dg yg saya beli  Dan saya mengembalikannya dg jasa ekspedisi yg shope rekomendasikan yaitu JNT  Paket saya diterima dalam keadaan baik  setiba nya di alamat penjual barang rusak dg menyalahkan packing tidak sesuai standart  Woy klu tidak sesuai standart knp paket saya diterima dan dikirimkan Pihak shopee jg tidak melindungi hak konsumen dg baik
"kecewa parah dengan ShopeePay nya, sisa saldo tidak pernah sesuai dengan potongan transaksi yang digunakan.",kecewa parah dengan ShopeePay nya  sisa saldo tidak pernah sesuai dengan potongan transaksi yang digunakan
"Shopee kenapa saya tidak bisa membuat alamat,waktu saya coba malam ada tulisan,mohon tambah kan alamat baru",Shopee kenapa saya tidak bisa membuat alamat waktu saya coba malam ada tulisan mohon tambah kan alamat baru
bayar lancar sdh belanja banyak tapi limit tidak naik ...aplikasi yang tdk bisa lihat yang mana bayar lancar yang mana tdk thanks,bayar lancar sdh belanja banyak tapi limit tidak naik aplikasi yang tdk bisa lihat yang mana bayar lancar yang mana tdk thanks
"sering bertransaksi namun spinjam hanya untuk yg terpilih,padahal sudah lama menggunakan shoope.terpaksa saya uninstal.kecewa",sering bertransaksi namun spinjam hanya untuk yg terpilih padahal sudah lama menggunakan shoope terpaksa saya uninstal kecewa
Paylater kok pada hilang gak muncul kemana? Jangan bikin aturan yang aneh-aneh lah sudah bagus yang dulu jangan persulit buyer/seller untuk transaksi.,Paylater kok pada hilang gak muncul kemana  Jangan bikin aturan yang aneh aneh lah sudah bagus yang dulu jangan persulit buyer seller untuk transaksi
"kok shoope skrng gni ya,,pdhl udh diupdet,,msh aj gk bisa dibuka shoope yg dlu"" bru bgus gk ribet,,gmpang bngt klu nyri tkony,,skrng slalu aj up terjadi kshalan,,ksel bngt,,kok skrang shoppe makin lemot ya,pdhaal sneng bngt blnja dishoope",kok shoope skrng gni ya  pdhl udh diupdet  msh aj gk bisa dibuka shoope yg dlu  bru bgus gk ribet  gmpang bngt klu nyri tkony  skrng slalu aj up terjadi kshalan  ksel bngt  kok skrang shoppe makin lemot ya pdhaal sneng bngt blnja dishoope
"Maaf kak, dulu kalo belanja di shopee biasanya gak ada kendala Tapi sekarang kendala nya di shopee pay :) padahal saya udah top up dan jumlahnya juga udah lebih dari harga barang dan ongkir nya Tapi kok tau tau keluar belum bayar? Terus pas saya mau bayar keluar yg gak biasanya? Bingung jadi gimana :) uangnya udah di shopeepay :) tau gini enakan cod :')",Maaf kak  dulu kalo belanja di shopee biasanya gak ada kendala Tapi sekarang kendala nya di shopee pay padahal saya udah top up dan jumlahnya juga udah lebih dari harga barang dan ongkir nya Tapi kok tau tau keluar belum bayar  Terus pas saya mau bayar keluar yg gak biasanya  Bingung jadi gimana uangnya udah di shopeepay tau gini enakan cod
"Untuk Team shopee, yang menghubungi saya Atas nama Ahmad alfarezi dengan secara baik² saya cuman mau menyampaikan kalau seandainya saya mendapatkan Cashback 1juta, saya minta untuk di sumbangkan kepada yang berhak, tapi kenapa anda maksa-maksa saya untuk segera Topup shopepay padahal saya ga bisa top up, karena satu alasan dan tapi kenapa tetap memaksa karena saya yang menang Kok kalian memaksa saya untuk memberikan Kode dan lain sebagainya.",Untuk Team shopee  yang menghubungi saya Atas nama Ahmad alfarezi dengan secara baik saya cuman mau menyampaikan kalau seandainya saya mendapatkan Cashback  juta  saya minta untuk di sumbangkan kepada yang berhak  tapi kenapa anda maksa maksa saya untuk segera Topup shopepay padahal saya ga bisa top up  karena satu alasan dan tapi kenapa tetap memaksa karena saya yang menang Kok kalian memaksa saya untuk memberikan Kode dan lain sebagainya
"Ngeleg pas gw buka terus lama loading nya, padahal kouta gw banyak sinyal oke tetep aja ngeleg, pas gw liat liat baju loading nya lama",Ngeleg pas gw buka terus lama loading nya  padahal kouta gw banyak sinyal oke tetep aja ngeleg  pas gw liat liat baju loading nya lama
"Pengiriman cuma reguler gak ada pilihan lain, kecewa enakan bayak pilihan seperti Toko pedia, semoga kedepanya bisa bayak pilihan expedisi",Pengiriman cuma reguler gak ada pilihan lain  kecewa enakan bayak pilihan seperti Toko pedia  semoga kedepanya bisa bayak pilihan expedisi
"Akun shopee pay saya di bobol orang dan gak ada solusi atau bantuan dari pihak shopee... saya nelpon pihak shopee juga malah menghindar.. saya sangat kcewa.. uang saya hangus di bobol orang... Saya tau ini musibah, setidak nya walau uang saya gak bisa kembali, ada perkataan maap atau apa, ini sungguh sangat mengecewakan... Saya kecewa..",Akun shopee pay saya di bobol orang dan gak ada solusi atau bantuan dari pihak shopee saya nelpon pihak shopee juga malah menghindar saya sangat kcewa uang saya hangus di bobol orang Saya tau ini musibah  setidak nya walau uang saya gak bisa kembali  ada perkataan maap atau apa  ini sungguh sangat mengecewakan Saya kecewa
Malah jengkel peripikasi nomer ga bisa bisa udah berkali kaki pake nomer beda beda juga ga bisa gimana sih ini itu woyyy kecewa banget lah baru mau pesen ga bisa peripikasi ya ga jadi,Malah jengkel peripikasi nomer ga bisa bisa udah berkali kaki pake nomer beda beda juga ga bisa gimana sih ini itu woy kecewa banget lah baru mau pesen ga bisa peripikasi ya ga jadi
"dulu sangat suka sekali sama shoppe tp lama lama aku gasuka dan kesal soalnya shoppe skrg celit,aku pengguna baru di hp lain uda gabisa gratis ongkir trus dapatkan vocher gratis ongkir juga celit",dulu sangat suka sekali sama shoppe tp lama lama aku gasuka dan kesal soalnya shoppe skrg celit aku pengguna baru di hp lain uda gabisa gratis ongkir trus dapatkan vocher gratis ongkir juga celit
"Sekarang mau order malah sulit, gimana sihha padahal semua persyaratan udah benar, tapi tetap aja ngak bisa😓😪😴",Sekarang mau order malah sulit  gimana sihha padahal semua persyaratan udah benar  tapi tetap aja ngak bisa
Kenapa setelah diupdate aplikasi shopee banyak ngelagnya?? Pdhl sebelumnya tdk pernah seperti ini.,Kenapa setelah diupdate aplikasi shopee banyak ngelagnya Pdhl sebelumnya tdk pernah seperti ini
Aku pake aplikasi ini masa gak bisa dapatkan kode otp padahal jaringan dan kartu ku udah aktif tapi masih aja gak dikasih,Aku pake aplikasi ini masa gak bisa dapatkan kode otp padahal jaringan dan kartu ku udah aktif tapi masih aja gak dikasih
"Shoppe shoppe.apk buat gua emosi banget.kapasitas penyimpanan gua masih banyak sinyal bagus banget kenapa kok nge lag2,gak jelas banget.",Shoppe shoppe apk buat gua emosi banget kapasitas penyimpanan gua masih banyak sinyal bagus banget kenapa kok nge lag  gak jelas banget
Voucher pengguna baru tidak bisa digunakan sering eror mentang mentang udah banyak yang pakai aplikasinya semakin pelitttt,Voucher pengguna baru tidak bisa digunakan sering eror mentang mentang udah banyak yang pakai aplikasinya semakin pelit
"Kak,mana bukti riwayat transaksi saldo penjual k bank aku.... Tolong perbaiki system shopee sekarang ya...padahal aku setia pake shopee ini ya",Kak mana bukti riwayat transaksi saldo penjual bank aku Tolong perbaiki system shopee sekarang ya padahal aku setia pake shopee ini ya
"Cash back selalu koin,dan itu harus nunggu 2x24 jam bru bsa di claim ribet gak otomatis gak ad perubahan payah2 kecewa!",Cash back selalu koin dan itu harus nunggu jam bru bsa di claim ribet gak otomatis gak ad perubahan payah  kecewa
"kecewa banget pake shopee pas main game nya koin ke tarik sendiri padahal ga ada make sedih banget,terus pas nonton live shoppe di suru ngeclaim lemot minta ampun tolong!!! dong pihak shoppe di benerin lagi ini,bikin kecewa aja deh,tolong di tindaklanjuti di dengar ya makasi !!!! 😌😔😑",kecewa banget pake shopee pas main game nya koin ke tarik sendiri padahal ga ada make sedih banget terus pas nonton live shoppe di suru ngeclaim lemot minta ampun tolong dong pihak shoppe di benerin lagi ini bikin kecewa aja deh tolong di tindaklanjuti di dengar ya makasi 
"Bro, saran untuk semua pembayaran dropshiper. Delay pengiriman nya, kalo semua lu giniin dan gak lu tegur yang punya produk. Semua bakal cabut bro. Dropshiper cuman bantu aja, bukan benalu. Dia sama kaya Pembeli lain kali dan kalo lo gak punya satu sistem buat pemberitahuan ini, ancur lu.",Bro  saran untuk semua pembayaran dropshiper  Delay pengiriman nya  kalo semua lu giniin dan gak lu tegur yang punya produk  Semua bakal cabut bro  Dropshiper cuman bantu aja  bukan benalu  Dia sama kaya Pembeli lain kali dan kalo lo gak punya satu sistem buat pemberitahuan ini  ancur lu
Gak bisa lagi milih jasa expedisi pengiriman yang termurah...kami tuh cari jasa yang gratis ongkir bukan pilihan shope haduh,Gak bisa lagi milih jasa expedisi pengiriman yang termurah kami tuh cari jasa yang gratis ongkir bukan pilihan shope haduh
Checkout Gagal (F06): Kode voucher dari shopee tidak sah. Mohon coba kode voucher lain 😑😑😑😑,Checkout Gagal Kode voucher dari shopee tidak sah  Mohon coba kode voucher lain 
"Semakin kesini makin gk relevan. Voucher bebas ongkir udh di klaim semua tapi tdk bisa digunakan semua, metode payment juga udh disesuaikan. Padahal terkenal aplikasi bebas ongkir. Payah!!",Semakin kesini makin gk relevan  Voucher bebas ongkir udh di klaim semua tapi tdk bisa digunakan semua  metode payment juga udh disesuaikan  Padahal terkenal aplikasi bebas ongkir  Payah
"Sangat buruk, admin STUPID kerja hanya sekedar kerja untuk dapat gaji, dalam hal ini tidak serius mengurus sengketa kasus transaksi konsumen dan penanganannya sangat lambat. Benar benar sangat mengecewakan, jadi enggan berbelanja kembali di Shopee.",Sangat buruk  admin STUPID kerja hanya sekedar kerja untuk dapat gaji  dalam hal ini tidak serius mengurus sengketa kasus transaksi konsumen dan penanganannya sangat lambat  Benar benar sangat mengecewakan  jadi enggan berbelanja kembali di Shopee
"Bintang satu deh sampai akun saya di kembalikan.. situ yg salah situ yg main blokir...situ yg kerja lambat, situ yg kasih rugi saya.. Hmmm padahal paling royal klo belanja di shopee, member platinum lagi. Tapi pelayanan dalam menyelesaikan masalah sangat merugikan saya,..",Bintang satu deh sampai akun saya di kembalikan situ yg salah situ yg main blokir situ yg kerja lambat  situ yg kasih rugi saya Hm padahal paling royal klo belanja di shopee  member platinum lagi  Tapi pelayanan dalam menyelesaikan masalah sangat merugikan saya
"Verifikasi gagal trs pdhl udh bener, nama, alamat, fto KTP. Sya uninstal aj nh menuh2in memori doang",Verifikasi gagal trs pdhl udh bener  nama  alamat  fto KTP  Sya uninstal aj nh menuh in memori doang
Jasa pengiriman jadi tidak sesuai yang di inginkan . Dan itu ongkir nya aduhay sekali,Jasa pengiriman jadi tidak sesuai yang di inginkan Dan itu ongkir nya aduhay sekali
"Kenapa kategori Vape saya sangat kesulitan mencari dan di app error', padahal saya sudah cukup dewasa.. Dan ada peringatan untuk kategori tersebut tidak bisa di akses, harus dengan desktop.. Jujur terus terang saya sangat kesulitan dengan hal seperti..",Kenapa kategori Vape saya sangat kesulitan mencari dan di app error padahal saya sudah cukup dewasa Dan ada peringatan untuk kategori tersebut tidak bisa di akses  harus dengan desktop Jujur terus terang saya sangat kesulitan dengan hal seperti
Shopee sekarang jadi jelek banget masa gak bisa pengiriman via j&t Exprees dll sihh pas aku masukkan voucher harganya gak berubah... Jadi jelekkk mending beli di aplikasi lain.. Saran saya tolong diperbaiki seperti dulu lagi!!,Shopee sekarang jadi jelek banget masa gak bisa pengiriman via  &  Exprees dll sihh pas aku masukkan voucher harganya gak berubah Jadi jelek mending beli di aplikasi lain Saran saya tolong diperbaiki seperti dulu lagi
"saking lama nya jd pengguna shoope,ga dapat Spaylater dan Spinjam,,temen baru daftr,,eh sdh dpt..gmn nih shoope,.",saking lama nya jd pengguna shoope ga dapat Spaylater dan Spinjam  temen baru daftr  eh sdh dpt  gmn nih shoope
Saya penjual. Saldo penarikan udh 2 hari belum masuk rekening padahal saya butuh banget tuh uangnya. Ada keterangan gagal. Padahal no rekening juga udh bener. Kalo gini caranya rugi saya!!,Saya penjual  Saldo penarikan udh hari belum masuk rekening padahal saya butuh banget tuh uangnya  Ada keterangan gagal  Padahal no rekening juga udh bener  Kalo gini caranya rugi saya
"Kenapa koin saya berkurang 6000 tanpa sebab apa2 dan mau main game kok seperti di persulit, Masak kalo mau main game harus nunggu muncul dulu baru bisa main, Aku merasa Shopee semakin lama semakin aneh.",Kenapa koin saya berkurang tanpa sebab apa  dan mau main game kok seperti di persulit  Masak kalo mau main game harus nunggu muncul dulu baru bisa main  Aku merasa Shopee semakin lama semakin aneh
"potongan biaya untuk seller dipertimbangkan lagi , sangat mencekek seller 😏 . Jangan terlalu memanjakan pembeli",potongan biaya untuk seller dipertimbangkan lagi sangat mencekek seller Jangan terlalu memanjakan pembeli
"Barusan aja download kan biasa dapet voucher gratis ongkir kan,laa ini malah ngga bisa di gunain padahal belum beli apa²",Barusan aja download kan biasa dapet voucher gratis ongkir kan laa ini malah ngga bisa di gunain padahal belum beli apa
Aplikasi jelek!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!memang jelek seller tidak mau ngirim pesan saya,Aplikasi jelek memang jelek seller tidak mau ngirim pesan saya
Sya sngt kecewa... knpa shopee skrg gk bisa pilih jasa kirim sndri...😭😭😭 tolonglah.. bukan mlh enak tpi mlh ribet klo kyk gni....,Sya sngt kecewa knpa shopee skrg gk bisa pilih jasa kirim sndri tolonglah bukan mlh enak tpi mlh ribet klo kyk gni
"Saya menggunakan shopee lebih dari 2 tahun . Tapi sama sekali belum juga di kasih ShopeePayleater , saya coba undang teman dan temanpun berhasil ikut menggunakan shopee , dalam jangka 2 Minggu teman menggunakannya , teman saya langsung di kasih ShopeePayleater , Aneh bukan",Saya menggunakan shopee lebih dari tahun Tapi sama sekali belum juga di kasih ShopeePayleater saya coba undang teman dan temanpun berhasil ikut menggunakan shopee dalam jangka Minggu teman menggunakannya teman saya langsung di kasih ShopeePayleater Aneh bukan
Saya mau transfer ke rek bca lama hampir berjam2 dari jam 19.00 hingga sekarang statusnya menunggu pembayarn..,Saya mau transfer ke rek bca lama hampir berjam  dari jam hingga sekarang statusnya menunggu pembayarn
Assalamualaikum shopee apa kah voucher yang sdh di sediakan oleh tokoh masing masing apa kah itu kita pakai gratis atau bayar,Assalamualaikum shopee apa kah voucher yang sdh di sediakan oleh tokoh masing masing apa kah itu kita pakai gratis atau bayar
Tidak bisa memilih jasa pengiriman tertentu. Bagi saya yg sering pakai jasa id express ini sangat memberatkan,Tidak bisa memilih jasa pengiriman tertentu  Bagi saya yg sering pakai jasa id express ini sangat memberatkan
"Model apaan shopee sekarang ini pengguna baru pas mau mesen di suruh verifikasi no telepon mulu, pas udh di verifikasi gak ada respon, malah di suruh verifikasi ulang. Jadinya gak bisa mesen barang di shopee",Model apaan shopee sekarang ini pengguna baru pas mau mesen di suruh verifikasi no telepon mulu  pas udh di verifikasi gak ada respon  malah di suruh verifikasi ulang  Jadinya gak bisa mesen barang di shopee
Itu gua beli poster anime kan minimal dapat gratis ongkir 30 ribu gua udah 50 ribu beli ko grtis ongkir nya masih ga ada..,Itu gua beli poster anime kan minimal dapat gratis ongkir ribu gua udah ribu beli ko grtis ongkir nya masih ga ada
"Mengapa Shopee saya tidak bisa di instal? , padahal kuota saya banyak, saya sudah memakai shopee sudah lama kok tiba-tiba tidak bisa di update setelah sya hapus kok tidak bisa juga, tolong perbaiki masalah saya ini dong @adminshopee, @shopeeid🙏🙏🙏",Mengapa Shopee saya tidak bisa di instal padahal kuota saya banyak  saya sudah memakai shopee sudah lama kok tiba tiba tidak bisa di update setelah sya hapus kok tidak bisa juga  tolong perbaiki masalah saya ini dong  adminshopee shopeeid
Update terbaru tentang fitur pengiriman baru bikin risih.Biarkan pelanggan yang ngatur.bukan Pihak shopee Pelanggan butuh kebebasan untuk berbalanja,Update terbaru tentang fitur pengiriman baru bikin risih Biarkan pelanggan yang ngatur bukan Pihak shopee Pelanggan butuh kebebasan untuk berbalanja
"Semakin susah shopeeeee,banyak toko yg gak bisa cod,,apa kebanyakan pajak ya,,pdhal udh naek ranting shope,duh eman2",Semakin susah shope banyak toko yg gak bisa cod  apa kebanyakan pajak ya  pdhal udh naek ranting shope duh eman
