negasi,Formalisasi
"['capee', 'pake', 'shopee', 'lot', 'banget', 'padahal', 'apk', 'lain', 'ga', 'lot', 'saya', 'kira', 'hp', 'saya', 'atau', 'jaring', 'yang', 'lot', 'tp', 'pas', 'keluar', 'dri', 'shopee', 'lancar', 'banget', 'kecewa', 'tolong', 'baik', 'shopee', 'ga', 'seperti', 'dlu', 'lagi']","['capee', 'pakai', 'shopee', 'lot', 'banget', 'padahal', 'aplikasi', 'lain', 'ga', 'lot', 'saya', 'kira', 'seluler', 'saya', 'atau', 'jaringan', 'yang', 'lot', 'tapi', 'pas', 'keluar', 'dari', 'shopee', 'lancar', 'banget', 'kecewa', 'tolong', 'baik', 'shopee', 'ga', 'seperti', 'dulu', 'lagi']"
"['apk', 'nya', 'sih', 'baguuss', 'tapi', 'aman', 'privasi', 'kurang', 'barusan', 'akun', 'saya', 'dihack', 'telah', 'itu', 'beri', 'tahu', 'kalo', 'saya', 'menang', 'uang', 'dan', 'harus', 'isi', 'saldo', 'sampe', 'nelpon', 'nelpon', 'berapa', 'kali', 'emang', 'di', 'apknya', 'ada', 'pemberitahuan', 'nya', 'saya', 'menang', 'uang', 'jt', 'tapi', 'saldo', 'saya', 'malah', 'sedot', 'samper', 'akun', 'saya', 'logout', 'sendiri']","['aplikasi', 'nya', 'sih', 'baguuss', 'tapi', 'aman', 'privasi', 'kurang', 'barusan', 'akun', 'saya', 'dihack', 'telah', 'itu', 'beri', 'tahu', 'kalau', 'saya', 'menang', 'uang', 'dan', 'harus', 'isi', 'saldo', 'sampai', 'telpon', 'telpon', 'berapa', 'kali', 'emang', 'di', 'aplikasi', 'ada', 'pemberitahuan', 'nya', 'saya', 'menang', 'uang', 'jt', 'tapi', 'saldo', 'saya', 'bahkan', 'sedot', 'samper', 'akun', 'saya', 'keluar', 'sendiri']"
"['shoppe', 'tolong', 'jelas', 'kan', 'kenapa', 'harga', 'ongkir', 'luar', 'negeri', 'lebiihh', 'murah', 'dari', 'ongkir', 'di', 'indonesia', 'itu', 'kenapa']","['shoppe', 'tolong', 'jelas', 'kan', 'kenapa', 'harga', 'ongkos kirim', 'luar', 'negeri', 'lebiihh', 'murah', 'dari', 'ongkos kirim', 'di', 'indonesia', 'itu', 'kenapa']"
"['saya', 'hampir', 'th', 'langgan', 'dishope', 'tapi', 'kali', 'ini', 'kecewa', 'dg', 'ongkir', 'yg', 'mahal', 'dan', 'pilih', 'expedisi', 'kirim', 'yg', 'tentu', 'oleh', 'shope', 'tolong', 'ikan', 'hak', 'kami', 'untuk', 'pilih', 'karena', 'kami', 'lebih', 'tau', 'yg', 'kita', 'butuh', 'dan', 'yg', 'kita', 'ingin', 'tidak_ambil', 'putus', 'yg', 'berat', 'customer', 'kalian']","['saya', 'hampir', 'th', 'langgan', 'dishope', 'tapi', 'kali', 'ini', 'kecewa', 'dg', 'ongkos kirim', 'yang', 'mahal', 'dan', 'pilih', 'expedisi', 'kirim', 'yang', 'tentu', 'oleh', 'shopee', 'tolong', 'ikan', 'hak', 'kami', 'untuk', 'pilih', 'karena', 'kami', 'lebih', 'tahu', 'yang', 'kita', 'butuh', 'dan', 'yang', 'kita', 'ingin', 'tidak_ambil', 'putus', 'yang', 'berat', 'konsumen', 'kalian']"
"['telah', 'update', 'ketika', 'bayar', 'lewat', 'shopee', 'pay', 'malah', 'ngeblank', 'kata', 'promo', 'ongkir', 'rupiah', 'tp', 'malah', 'eror', 'sama', 'aja', 'boong', 'tipu', 'tipu', 'lo']","['telah', 'terbaru', 'ketika', 'bayar', 'lewat', 'shopee', 'bayar', 'bahkan', 'ngeblank', 'kata', 'promo', 'ongkos kirim', 'rupiah', 'tapi', 'bahkan', 'error', 'sama', 'saja', 'bohong', 'tipu', 'tipu', 'kamu']"
"['kenapa', 'kode', 'otp', 'no', 'hp', 'untuk', 'login', 'atau', 'untuk', 'daftar', 'shopee', 'pay', 'gk', 'di', 'kirim', 'ud', 'ulang', 'ulang', 'aku', 'coba', 'tapi', 'tetap', 'sama', 'mohon', 'jelas']","['kenapa', 'kode', 'otp', 'no', 'seluler', 'untuk', 'login', 'atau', 'untuk', 'daftar', 'shopee', 'bayar', 'gk', 'di', 'kirim', 'sudah', 'ulang', 'ulang', 'aku', 'coba', 'tapi', 'tetap', 'sama', 'mohon', 'jelas']"
"['kenapa', 'di', 'sopy', 'bayak', 'dajal', 'tipu', 'saya', 'udh', 'tipu', 'mau', 'beli', 'barang', 'makah', 'di', 'batalin', 'sama', 'toko', 'tau', 'tau', 'toko', 'ajing', 'bilang', 'punya', 'toko', 'mau', 'antri', 'owngiriman', 'tau', 'minta', 'otp', 'saya', 'saya', 'brtaya', 'sama', 'cd', 'sopi', 'bilang', 'akun', 'asli', 'sopy', 'tiba', 'dia', 'batal', 'kn', 'pesan', 'saya', 'uang', 'balik', 'ke', 'saldo', 'sopi', 'tpi', 'ad', 'yng', 'tramper', 'rin', 'ke', 'buka', 'warung', 'onlwn', 'akun', 'saya', 'tdi', 'penbeli', 'beru', 'bah', 'jadi', 'penyual', 'di', 'sopy', 'bayk', 'setan', 'duit', 'tipu', 'sungguh', 'saya', 'ke', 'cewa', 'sma', 'sopi', 'tutup', 'ajh', 'apikasi', 'sopi', 'dari', 'pada', 'bayak', 'korban']","['kenapa', 'di', 'sopy', 'bayak', 'dajal', 'tipu', 'saya', 'udh', 'tipu', 'mau', 'beli', 'barang', 'makah', 'di', 'batalin', 'sama', 'toko', 'tahu', 'tahu', 'toko', 'ajing', 'bilang', 'punya', 'toko', 'mau', 'antri', 'owngiriman', 'tahu', 'minta', 'otp', 'saya', 'saya', 'brtaya', 'sama', 'cd', 'sopi', 'bilang', 'akun', 'asli', 'sopy', 'tiba', 'dia', 'batal', 'kan', 'pesan', 'saya', 'uang', 'balik', 'ke', 'saldo', 'sopi', 'tapi', 'ada', 'yng', 'tramper', 'rin', 'ke', 'buka', 'warung', 'onlwn', 'akun', 'saya', 'tadi', 'penbeli', 'beru', 'bah', 'jadi', 'penyual', 'di', 'sopy', 'bayk', 'setan', 'uang', 'tipu', 'sungguh', 'saya', 'ke', 'cewa', 'sama', 'sopi', 'tutup', 'ajh', 'apikasi', 'sopi', 'dari', 'pada', 'bayak', 'korban']"
"['payah', 'masa', 'komplain', 'tiap', 'hari', 'bagai', 'jual', 'agar', 'gratis', 'ongkirnya', 'dibenerin', 'ga', 'ada', 'tindak', 'padahal', 'daftar', 'sukses', 'orde', 'tiap', 'hri', 'jg', 'ada']","['payah', 'masa', 'komplain', 'tiap', 'hari', 'bagai', 'jual', 'agar', 'gratis', 'ongkirnya', 'benar', 'ga', 'ada', 'tindak', 'padahal', 'daftar', 'sukses', 'orde', 'tiap', 'hri', 'juga', 'ada']"
"['kata', 'guna', 'baru', 'bisa', 'dapet', 'voucher', 'gratis', 'ongkir', 'ehh', 'voucher', 'gk', 'bisa', 'di', 'pake', 'udah', 'nyoba', 'pake', 'nomor', 'tetep', 'tidak_bisa']","['kata', 'guna', 'baru', 'bisa', 'dapat', 'voucer', 'gratis', 'ongkos kirim', 'ehh', 'voucer', 'gk', 'bisa', 'di', 'pakai', 'sudah', 'coba', 'pakai', 'nomor', 'tetep', 'tidak_bisa']"
"['kecewa', 'sih', 'saya', 'bagai', 'reseller', 'buat', 'maka', 'grtis', 'ongkir', 'batas', 'sekarang', 'ada', 'limit', 'mimgguan', 'doang', 'dlam', 'minggu', 'buat', 'apa', 'dkrimin', 'vocher', 'terus', 'tp', 'ga', 'bsa', 'guna', 'sangat', 'kecewa', 'shopee', 'pelit', 'sekali']","['kecewa', 'sih', 'saya', 'bagai', 'reseller', 'buat', 'maka', 'grtis', 'ongkos kirim', 'batas', 'sekarang', 'ada', 'limit', 'mimgguan', 'doang', 'dlam', 'minggu', 'buat', 'apa', 'dkrimin', 'voucer', 'terus', 'tapi', 'ga', 'bisa', 'guna', 'sangat', 'kecewa', 'shopee', 'pelit', 'sekali']"
"['saya', 'guna', 'baru', 'shopee', 'tapi', 'baru', 'beli', 'sekali', 'pakai', 'nomor', 'itu', 'malah', 'waktu', 'mau', 'beli', 'lg', 'pakai', 'nomor', 'yang', 'sama', 'tidak_bisa', 'kecewa', 'deh', 'jadi', 'nya']","['saya', 'guna', 'baru', 'shopee', 'tapi', 'baru', 'beli', 'sekali', 'pakai', 'nomor', 'itu', 'bahkan', 'waktu', 'mau', 'beli', 'lagi', 'pakai', 'nomor', 'yang', 'sama', 'tidak_bisa', 'kecewa', 'deh', 'jadi', 'nya']"
"['mohon', 'maaf', 'karena', 'saya', 'beri', 'rating', 'aplikasi', 'ini', 'terlalu', 'banyak', 'guna', 'memori', 'hp', 'telah', 'diinstal', 'aplikasi', 'ini', 'bisa', 'guna', 'memori', 'hape', 'sampai', 'mb', 'lebih', 'jauh', 'lebih', 'besar', 'banding', 'dgn', 'akun', 'marketplace', 'lain', 'yg', 'guna', 'memori', 'sekitar', 'mb', 'selain', 'itu', 'di', 'hlp', 'saya', 'jg', 'muncul', 'ada', 'file', 'sampah', 'yang', 'deteksi', 'oleh', 'aplikasi', 'bersih', 'bawa', '', 'file', 'itu', 'nama', 'shopee', 'bla', 'bla', 'bisa', 'sampai', 'beberapa', 'file', 'dgn', 'file', 'besar', 'sekitar', 'mb', 'mungkin', 'ini', 'hanya', 'saya', 'yg', 'alami']","['mohon', 'maaf', 'karena', 'saya', 'beri', 'rating', 'aplikasi', 'ini', 'terlalu', 'banyak', 'guna', 'memori', 'seluler', 'telah', 'diinstal', 'aplikasi', 'ini', 'bisa', 'guna', 'memori', 'seluler', 'sampai', 'mb', 'lebih', 'jauh', 'lebih', 'besar', 'banding', 'dengan', 'akun', 'marketplace', 'lain', 'yang', 'guna', 'memori', 'sekitar', 'mb', 'selain', 'itu', 'di', 'hlp', 'saya', 'juga', 'muncul', 'ada', 'file', 'sampah', 'yang', 'deteksi', 'oleh', 'aplikasi', 'bersih', 'bawa', '', 'file', 'itu', 'nama', 'shopee', 'bla', 'bla', 'bisa', 'sampai', 'beberapa', 'file', 'dengan', 'file', 'besar', 'sekitar', 'mb', 'mungkin', 'ini', 'hanya', 'saya', 'yang', 'alami']"
"['sekarang', 'udah', 'makin', 'jelek', 'apl', 'ini', 'mo', 'blanja', 'repot', 'stengah', 'mati', 'harga', 'juga', 'lebih', 'mahal', 'dari', 'lazada', 'dan', 'toko', 'dia', 'sory', 'gwe', 'unistal', 'aja']","['sekarang', 'sudah', 'makin', 'jelek', 'aplikasi', 'ini', 'mau', 'blanja', 'repot', 'setengah', 'mati', 'harga', 'juga', 'lebih', 'mahal', 'dari', 'lazada', 'dan', 'toko', 'dia', 'maaf', 'gwe', 'unistal', 'saja']"
"['sebenernya', 'suka', 'tapi', 'lama', 'lama', 'lot', 'banget', 'parah', 'gila', 'foto', 'tidak_muncul', 'muncul', 'padahal', 'nonton', 'yutub', 'lancar', 'jaya', 'butuh', 'sinyal', 'kek']","['sebenarnya', 'suka', 'tapi', 'lama', 'lama', 'lot', 'banget', 'parah', 'gila', 'foto', 'tidak_muncul', 'muncul', 'padahal', 'nonton', 'youtube', 'lancar', 'jaya', 'butuh', 'sinyal', 'seperti']"
"['aku', 'rangin', 'bintang', 'nya', 'karena', 'shopee', 'sekarang', 'ga', 'bisa', 'pilih', 'jasa', 'kurir', 'yang', 'kita', 'ken', 'telah', 'di', 'update', 'makin', 'ga', 'nyaman', 'belanja', 'di', 'shopee']","['aku', 'rangin', 'bintang', 'nya', 'karena', 'shopee', 'sekarang', 'ga', 'bisa', 'pilih', 'jasa', 'kurir', 'yang', 'kita', 'ken', 'telah', 'di', 'terbaru', 'makin', 'ga', 'nyaman', 'belanja', 'di', 'shopee']"
"['saya', 'mesen', 'barang', 'nih', 'dri', 'minggu', 'kmrn', 'sampe', 'sekarang', 'ko', 'msh', 'di', 'kemas', 'aja', 'blm', 'di', 'kirim', 'lama', 'bener', 'asa', 'dolo', 'saya', 'beli', 'barang', 'lama', 'kemudian', 'langsung', 'di', 'kirim', 'hadeuh']","['saya', 'mesen', 'barang', 'ini', 'dari', 'minggu', 'kemarin', 'sampai', 'sekarang', 'ko', 'masih', 'di', 'kemas', 'saja', 'belum', 'di', 'kirim', 'lama', 'benar', 'asa', 'dolo', 'saya', 'beli', 'barang', 'lama', 'kemudian', 'langsung', 'di', 'kirim', 'hadeuh']"
"['knp', 'shoope', 'jadi', 'gin', 'pdhl', 'blm', 'pernah', 'guna', 'baru', 'dapet', 'voucher', 'gratis', 'ongkir', 'tp', 'knp', 'ga', 'bisa', 'dipake', 'pdhl', 'blm', 'pernah', 'dipake']","['kenapa', 'shoope', 'jadi', 'gin', 'padahal', 'belum', 'pernah', 'guna', 'baru', 'dapat', 'voucer', 'gratis', 'ongkos kirim', 'tapi', 'kenapa', 'ga', 'bisa', 'dipake', 'padahal', 'belum', 'pernah', 'dipake']"
"['apa', 'kok', 'kasih', 'promo', 'bulan', 'sekali', 'pun', 'cuma', 'hari', 'toko', 'banyak', 'yg', 'belum', 'free', 'ongkir', 'krn', 'ada', 'tahap', 'proses', 'verif', 'ktp', 'aja', 'susah', 'gagal', 'ae']","['apa', 'kok', 'kasih', 'promo', 'bulan', 'sekali', 'pun', 'cuma', 'hari', 'toko', 'banyak', 'yang', 'belum', 'gratis', 'ongkos kirim', 'karena', 'ada', 'tahap', 'proses', 'verif', 'ktp', 'saja', 'susah', 'gagal', 'ae']"
"['bintang', 'satu', 'ah', 'shopee', 'tidak_jelas', 'udah', 'bener', 'bisa', 'milih', 'jasa', 'expedisi', 'malah', 'sekarang', 'gk', 'bisa', 'milih', 'hadeh']","['bintang', 'satu', 'ah', 'shopee', 'tidak_jelas', 'sudah', 'benar', 'bisa', 'milih', 'jasa', 'expedisi', 'bahkan', 'sekarang', 'gk', 'bisa', 'milih', 'hadeh']"
"['sekarang', 'sistem', 'nya', 'jelek', 'belanja', 'malah', 'mahal', 'di', 'ongkir', 'kalo', 'sistem', 'nya', 'kaya', 'gin', 'mending', 'stop', 'pake', 'shopee', 'tolong', 'dong', 'kembali', 'sistem', 'shopee', 'yang', 'dulu', 'makin', 'diupgrade', 'malah', 'makin', 'jelek']","['sekarang', 'sistem', 'nya', 'jelek', 'belanja', 'bahkan', 'mahal', 'di', 'ongkos kirim', 'kalau', 'sistem', 'nya', 'kaya', 'gin', 'lebih baik', 'stop', 'pakai', 'shopee', 'tolong', 'dong', 'kembali', 'sistem', 'shopee', 'yang', 'dulu', 'makin', 'diupgrade', 'bahkan', 'makin', 'jelek']"
"['samsung', 'nggak', 'bisa', 'untuk', 'bayar', 'kalo', 'ke', 'menu', 'profil', 'dan', 'bayar', 'cuman', 'ada', 'halaman', 'putih', 'aja']","['samsung', 'tidak', 'bisa', 'untuk', 'bayar', 'kalau', 'ke', 'menu', 'profil', 'dan', 'bayar', 'cuman', 'ada', 'halaman', 'putih', 'saja']"
"['sangat', 'kecewa', 'dengan', 'jasa', 'kirim', 'shope', 'yg', 'di', 'satu', 'jadi', 'reguler', 'orng', 'dari', 'luar', 'kota', 'jadi', 'mahal', 'ongkirnya', 'seperti', 'saya', 'dari', 'sulawesi', 'biasa', 'kalau', 'belanja', 'pakai', 'vocher', 'tidak_bayar', 'ongkir', 'skrng', 'udh', 'tidak_bisa', 'mau', 'di', 'jual', 'kembali', 'jadi', 'susah', 'kasi', 'harga']","['sangat', 'kecewa', 'dengan', 'jasa', 'kirim', 'shopee', 'yang', 'di', 'satu', 'jadi', 'reguler', 'orang', 'dari', 'luar', 'kota', 'jadi', 'mahal', 'ongkirnya', 'seperti', 'saya', 'dari', 'sulawesi', 'biasa', 'kalau', 'belanja', 'pakai', 'voucer', 'tidak_bayar', 'ongkos kirim', 'sekarang', 'udh', 'tidak_bisa', 'mau', 'di', 'jual', 'kembali', 'jadi', 'susah', 'kasih', 'harga']"
"['bnar', 'parah', 'shopee', 'nya', 'saya', 'mesan', 'tgl', 'kmrin', 'smpe', 'tgl', 'ini', 'blm', 'juga', 'nyampe', 'pdhal', 'lokasi', 'toko', 'dijakarta', 'ini', 'lama', 'bnget', 'kayak', 'krim', 'dari', 'china', 'bikin', 'marah', 'aplikasi', 'ini', 'smua', 'lelet', 'layan', 'nya', 'gk', 'biasa', 'bgus', 'sblm', 'nya']","['bnar', 'parah', 'shopee', 'nya', 'saya', 'mesan', 'tanggal', 'kemarin', 'smpe', 'tanggal', 'ini', 'belum', 'juga', 'sampai', 'padahal', 'lokasi', 'toko', 'dijakarta', 'ini', 'lama', 'banget', 'kayak', 'krim', 'dari', 'china', 'bikin', 'marah', 'aplikasi', 'ini', 'semua', 'lambat', 'layan', 'nya', 'gk', 'biasa', 'bagus', 'sebelum', 'nya']"
"['tipu', 'ni', 'shopee', 'kasih', 'nya', 'notifikasi', 'spinjam', 'tau', 'bunga', 'nya', 'mahal', 'banget', 'saya', 'coba', 'pinjam', 'juta', 'tapi', 'bunga', 'nya', 'juta', 'bulan', 'rb', 'lama', 'bulan', 'jadi', 'total', 'bunga', 'nya', 'juta', 'saya', 'jadi', 'aju', 'spinjam', 'buat', 'modal', 'jual', 'tapi', 'bunga', 'nya', 'mahal', 'banget', 'lebih', 'koprasi', 'aja', 'saya', 'mau', 'balik', 'tu', 'uang', 'ga', 'bisa', 'di', 'balik', 'kalo', 'mau', 'balik', 'juga', 'harus', 'nyicil', 'bulan', 'terus', 'shoppe', 'tetap', 'dapat', 'untung', 'gila', 'yaa', 'shopee', 'nipu', 'banget', 'nyesal', 'saya', 'belanja', 'lama', 'ini']","['tipu', 'ini', 'shopee', 'kasih', 'nya', 'notifikasi', 'spinjam', 'tahu', 'bunga', 'nya', 'mahal', 'banget', 'saya', 'coba', 'pinjam', 'juta', 'tapi', 'bunga', 'nya', 'juta', 'bulan', 'ribu', 'lama', 'bulan', 'jadi', 'total', 'bunga', 'nya', 'juta', 'saya', 'jadi', 'aju', 'spinjam', 'buat', 'modal', 'jual', 'tapi', 'bunga', 'nya', 'mahal', 'banget', 'lebih', 'koprasi', 'saja', 'saya', 'mau', 'balik', 'tu', 'uang', 'ga', 'bisa', 'di', 'balik', 'kalau', 'mau', 'balik', 'juga', 'harus', 'mencicil', 'bulan', 'terus', 'shoppe', 'tetap', 'dapat', 'untung', 'gila', 'yaa', 'shopee', 'tipu', 'banget', 'sesal', 'saya', 'belanja', 'lama', 'ini']"
"['halo', 'kak', 'knpa', 'saya', 'tidak_bisa', 'mengupdate', 'aplikasi', 'shopee', 'yg', 'baru', 'ya', 'padahal', 'ram', 'dan', 'memori', 'saya', 'masih', 'banyak', 'ni', 'mohon', 'solusi', 'kak']","['halo', 'kak', 'kenapa', 'saya', 'tidak_bisa', 'mengupdate', 'aplikasi', 'shopee', 'yang', 'baru', 'iya', 'padahal', 'ram', 'dan', 'memori', 'saya', 'masih', 'banyak', 'ini', 'mohon', 'solusi', 'kak']"
